clients,threads,pipeline,multi_get,throughput,KB/s,avg_latency,p99,p999,pareto
2,2,32,50,15866.76,818268.25,8.06579,8.895,11.519,False
2,2,64,50,14367.17,740871.93,17.81438,20.223,23.167,False
2,2,128,50,13643.68,703589.38,37.50859,41.983,49.407,False
2,2,256,50,13326.45,687210.32,76.76892,87.551,100.863,False
2,4,1,50,14167.65,730639.01,0.56454,0.887,1.079,False
2,4,8,50,16497.73,850771.05,3.87862,4.639,6.815,False
2,4,16,50,17657.26,910629.97,7.24758,8.159,10.815,False
2,4,32,50,16991.87,876291.23,15.06253,17.407,20.223,False
2,4,64,50,15743.87,811844.52,32.50956,36.095,43.519,False
2,4,128,50,14411.58,743161.39,70.99204,80.895,93.695,False
2,4,256,50,13518.03,697145.03,151.21558,177.151,199.679,False
2,8,1,50,17419.41,898218.02,0.91827,1.447,4.639,False
2,8,8,50,17514.15,903146.86,7.30689,8.831,13.567,False
2,8,16,50,19008.75,980168.13,13.46526,15.679,18.559,False
2,8,32,50,17878.91,921850.13,28.6272,32.767,40.959,False
2,8,64,50,16759.56,864128.89,61.05841,69.119,83.455,False
2,8,128,50,14189.99,731761.13,144.07854,168.959,191.487,False
2,8,256,50,13521.19,697323.49,301.80988,339.967,440.319,False
4,1,1,50,17019.26,877725.32,0.23499,0.287,0.311,True
4,1,8,50,15958.61,823002.27,2.00482,2.351,3.567,False
4,1,16,50,15909.64,820492.36,4.02236,4.479,6.879,False
4,1,32,50,15651.99,807187.01,8.1772,8.959,11.583,False
4,1,64,50,13883.95,715973.96,18.43446,20.863,23.935,False
4,1,128,50,14509.16,748204.05,35.27408,39.423,47.103,False
4,1,256,50,13985.64,721215.53,73.15439,82.943,96.767,False
4,2,1,50,14313.13,738111.27,0.55884,0.879,1.143,False
4,2,8,50,17204.72,887284.68,3.71922,4.351,6.495,False
4,2,16,50,17552.81,905247.51,7.29114,8.031,10.623,False
4,2,32,50,16706.06,861506.31,15.32056,17.151,20.223,False
4,2,64,50,15362.29,792155.09,33.31824,36.863,44.031,False
4,2,128,50,14953.85,771121.37,68.42273,77.823,91.647,False
4,2,256,50,13495.62,695979.4,151.45921,178.175,216.063,False
4,4,1,50,14600.66,752875.57,1.09558,1.719,3.455,False
4,4,8,50,17473.55,901045.66,7.32416,8.895,13.951,False
4,4,16,50,19365.04,998562.0,13.21752,15.423,18.687,False
4,4,32,50,17966.16,926343.11,28.48497,32.639,39.167,False
4,4,64,50,16319.56,841431.66,62.70142,70.143,84.479,False
4,4,128,50,14717.23,758857.95,138.93158,162.815,188.415,False
4,4,256,50,14343.86,739705.79,284.58134,323.583,432.127,False
4,8,1,50,15754.11,812103.43,2.03058,3.535,18.175,False
4,8,8,50,19545.29,1007782.46,13.09624,16.767,20.351,True
4,8,16,50,19823.64,1022143.33,25.82031,30.591,37.631,False
4,8,32,50,18309.95,944051.55,55.88138,65.535,78.335,False
4,8,64,50,16429.85,847086.48,124.42021,148.479,166.911,False
4,8,128,50,14614.95,753352.31,279.32617,317.439,407.551,False
4,8,256,50,13928.45,718011.05,583.92192,647.167,892.927,False
8,1,1,50,13561.45,699383.22,0.58984,0.903,1.055,False
8,1,8,50,17578.29,906548.07,3.64041,4.223,6.399,False
8,1,16,50,17807.64,918396.73,7.18706,7.871,10.559,False
8,1,32,50,16872.13,870086.09,15.17021,16.511,20.095,False
8,1,64,50,14710.49,758583.14,35.38083,38.911,46.335,False
8,1,128,50,15742.96,811799.34,65.0009,73.215,89.087,False
8,1,256,50,13989.94,721497.27,146.12861,174.079,259.071,False
8,2,1,50,17672.11,911254.36,0.90463,16.511,20.479,True
8,2,8,50,18248.94,940917.86,7.01317,8.319,10.623,False
8,2,16,50,19129.58,986393.78,13.38008,15.679,18.047,False
8,2,32,50,17423.04,898422.75,28.8948,32.127,39.167,False
8,2,64,50,15536.31,801096.14,65.86698,73.727,87.551,False
8,2,128,50,15625.03,805672.86,130.87823,154.623,185.343,False
8,2,256,50,14562.71,750906.88,280.33164,317.439,434.175,False
8,4,1,50,18035.36,929923.96,1.77299,24.575,31.615,False
8,4,8,50,18969.79,978051.9,13.72102,17.151,23.423,False
8,4,16,50,20278.46,1045585.08,25.24244,30.207,35.839,True
8,4,32,50,17953.17,925692.6,56.9926,68.607,79.359,False
8,4,64,50,16162.95,833304.46,126.51484,149.503,168.959,False
8,4,128,50,15486.7,798290.47,263.69311,303.103,395.263,False
8,4,256,50,15181.77,782642.86,545.10036,606.207,864.255,False
8,8,1,50,18441.43,950785.4,3.46797,37.887,53.247,True
8,8,8,50,20212.3,1042225.7,25.32632,35.071,41.215,False
8,8,16,50,19469.02,1003829.76,52.57027,63.487,76.287,False
8,8,32,50,17569.2,905995.0,116.42338,141.311,158.719,False
8,8,64,50,16413.09,846490.24,252.92845,290.815,364.543,False
8,8,128,50,15518.67,800352.38,524.64958,585.727,815.103,False
8,8,256,50,15206.55,784255.33,1063.97794,1359.871,1761.279,False
16,1,1,50,13564.7,699570.49,1.17939,1.783,2.223,False
16,1,8,50,17865.28,921122.98,7.04647,8.319,10.303,False
16,1,16,50,18360.92,946739.5,13.94048,15.551,18.431,False
16,1,32,50,18123.0,934405.9,28.24296,31.487,39.167,False
16,1,64,50,16378.56,844502.19,63.53625,71.167,86.527,False
16,1,128,50,16749.63,863646.51,124.16808,148.479,206.847,False
16,1,256,50,14425.52,743891.95,282.98157,327.679,454.655,False
16,2,1,50,18263.96,941701.86,1.75105,17.023,24.959,True
16,2,8,50,18286.28,942844.43,13.99631,19.839,22.911,False
16,2,16,50,19684.9,1014996.12,26.00255,33.791,45.823,False
16,2,32,50,17875.55,921682.51,57.24796,63.999,78.335,False
16,2,64,50,16268.53,838694.26,127.83691,150.527,167.935,False
16,2,128,50,16071.66,828568.01,254.09341,292.863,415.743,False
16,2,256,50,15725.13,810568.16,517.76559,581.631,860.159,False
16,4,1,50,17925.79,924216.25,3.50961,25.343,33.023,False
16,4,8,50,18904.76,974748.81,26.63049,35.839,43.007,False
16,4,16,50,19206.07,990293.23,52.40618,63.999,76.287,False
16,4,32,50,17597.94,907495.34,116.2289,139.263,158.719,False
16,4,64,50,16575.03,854880.4,250.58588,288.767,389.119,False
16,4,128,50,16229.76,836967.26,510.18577,581.631,831.487,False
16,4,256,50,15561.48,802585.43,1039.86735,1351.679,1744.895,False
16,8,1,50,18172.32,937295.88,7.03966,33.023,53.247,False
16,8,8,50,19842.62,1023701.86,51.59081,70.143,81.919,False
16,8,16,50,18229.32,940236.88,112.21903,140.287,157.695,False
16,8,32,50,16927.25,873165.43,237.38111,280.575,358.399,False
16,8,64,50,16469.11,849376.41,502.90659,573.439,757.759,False
16,8,128,50,15979.9,824070.66,1030.03952,1318.911,1671.167,False
16,8,256,50,15748.04,812073.57,2080.4755,3129.343,3522.559,False
